Name,tc,pc,w,L,M,N,c
"1,1-DIMETHOXYETHANE",507.80,37.73,0.3277,0.1447,0.8299,2.9049,-1.5929
"1,1-DIMETHYLCYCLOHEXANE",591.15,29.38,0.2326,1.3819,1.0000,0.4905,8.0818
"1,1-DIMETHYLCYCLOPENTANE",547.00,34.45,0.2724,0.2423,0.8447,2.1649,-11.6878
"1,1-DIPHENYLETHANE",775.00,26.80,0.4566,1.3207,0.9938,0.7500,9.4664
"1,2,3,4-TETRAHYDRONAPHTHALENE",720.00,36.50,0.3353,0.3071,0.8304,2.0408,3.1306
"1,2,3,4-TETRAMETHYLBENZENE",693.00,31.10,0.4172,0.3274,0.8571,2.4401,5.7288
"1,2,3,4-TETRAMETHYLCYCLOHEXANE",642.00,25.70,0.4016,0.8588,0.8772,2.1639,-12.0990
"1,2,3,5-TETRAETHYLBENZENE",708.00,20.70,0.5940,0.5284,0.8453,1.5203,25.6989
"1,2,3,5-TETRAMETHYLBENZENE",679.00,29.70,0.4242,0.4246,0.8455,1.9695,8.7088
"1,2,3,6-TETRAHYDROBENZALDEHYDE",655.00,40.30,0.3638,0.9066,0.8679,1.2287,-3.1371
"1,2,3-TRICHLOROBENZENE",734.00,45.10,0.4263,0.5134,0.8535,1.9598,-22.4623
"1,2,3-TRICHLOROPROPANE",652.00,38.70,0.3056,1.6115,1.0000,0.4701,22.3025
"1,2,3-TRIETHYLBENZENE",683.00,23.80,0.5054,1.0192,0.7835,0.5922,N.A.
"1,2,3-TRIMETHYL-4-ETHYLBENZENE",702.70,27.95,0.4574,0.2176,0.8147,2.8422,8.6849
"1,2,3-TRIMETHYLBENZENE",664.50,34.54,0.3666,0.4031,0.8452,1.8604,5.1802
"1,2,4,5-TETRAMETHYLBENZENE",676.00,29.00,0.4217,0.7669,0.9008,1.2474,15.2183
"1,2,4-TRICHLOROBENZENE",725.00,37.20,0.3581,0.6029,0.8306,1.2936,N.A.
"1,2,4-TRIETHYLBENZENE",684.00,23.80,0.5011,2.0296,0.9993,0.2910,29.5590
"1,2,4-TRIMETHYL-3-ETHYLBENZENE",697.30,27.95,0.4569,0.4164,0.8721,2.2298,5.2923
"1,2,4-TRIMETHYL-5-ETHYLBENZENE",687.30,26.78,0.4638,0.2436,0.8315,2.8749,10.0690
"1,2,4-TRIMETHYLBENZENE",649.10,32.32,0.3787,0.2987,0.8422,2.3166,6.7697
"1,2-BUTADIENE",452.00,43.60,0.1659,1.1644,0.7457,0.5078,4.6826
"1,2-DIBROMOETHANE",650.15,54.77,0.2067,1.2779,0.9998,0.5019,1.2160
"1,2-DIBROMOTETRAFLUOROETHANE",487.80,33.93,0.2431,0.1320,0.8411,2.6976,-3.9834
"1,2-DICHLORO-1,1,2-TRIFLUOROETHANE",461.60,36.10,0.2410,0.1638,0.8497,2.5537,1.6840
"1,2-DICHLOROBUTANE",600.00,36.80,0.2988,0.1911,0.8456,2.6211,11.1323
"1,2-DICHLOROETHANE",561.60,53.70,0.2866,0.2197,0.8566,2.4465,-0.5590
"1,2-DICHLOROPROPANE",572.00,42.40,0.2564,0.2978,0.8289,1.7859,4.4344
"1,2-DICHLOROTETRAFLUOROETHANE",418.85,32.60,0.2520,0.1492,0.8439,2.6505,-5.0372
"1,2-DIETHOXYETHANE",561.00,29.30,0.4818,0.1261,0.8090,3.3672,4.5475
"1,2-DIMETHOXYETHANE",536.15,38.71,0.3475,0.3453,0.7852,1.7503,2.1968
"1,2-DIMETHOXYPROPANE",543.00,34.46,0.3522,0.1640,0.8304,2.8962,N.A.
"1,2-DIPHENYLETHANE",780.00,26.50,0.4885,0.2895,0.8378,2.7567,12.5638
"1,2-EPOXY-3-PHENOXYPROPANE",720.00,29.50,0.5943,0.3096,0.8278,2.9476,33.3754
"1,2-EPOXYBUTANE",526.00,43.90,0.2345,0.6564,0.8139,0.9566,6.9365
"1,2-PENTADIENE",500.00,38.00,0.1542,0.4824,0.0000,0.5328,9.8717
"1,2-PROPANEDIAMINE",587.00,52.70,0.4738,1.1405,0.9966,0.9092,-10.2894
"1,2-PROPYLENE OXIDE",482.25,49.20,0.2683,0.2333,0.8509,2.2533,10.2853
"1,3,5,7-CYCLOOCTATETRAENE",641.40,44.20,0.2870,0.2695,0.7873,1.5749,N.A.
"1,3,5-TRICHLOROBENZENE",718.00,37.20,0.3596,1.1232,0.9996,0.7741,8.0124
"1,3,5-TRIETHYLBENZENE",678.00,23.00,0.5077,0.5427,0.8639,2.3405,10.2061
"1,3-BENZENEDIOL",810.00,74.90,0.6767,0.2970,0.8162,3.1972,-22.7481
"1,3-BUTADIENE",425.00,43.20,0.1950,0.1618,0.8592,2.4088,-1.6140
"1,3-BUTANEDIOL",676.00,40.20,0.7043,1.7992,1.0000,0.7085,35.2781
"1,3-CYCLOHEXADIENE",558.00,47.30,0.2308,0.4430,0.8195,1.2648,-8.7709
"1,3-DICHLORO-2-PROPANOL",633.00,45.00,0.6997,1.4797,0.9006,1.8943,-12.7072
"1,3-DICHLOROPROPANE",603.00,41.50,0.2916,0.3538,0.8607,1.8621,14.8464
"1,3-DIMETHYLADAMANTANE",708.00,30.00,0.2935,0.2104,0.8501,2.5432,-19.2947
"1,3-DIOXANE",590.00,51.50,0.2891,1.2417,1.0000,0.6823,-3.8012
"1,3-PROPYLENE GLYCOL",724.00,95.00,0.7385,0.5908,0.8682,2.2810,-23.7571
"1,3-PROPYLENE OXIDE",520.00,57.50,0.2005,0.1339,0.8501,2.5480,7.5880
"1,4-BUTANEDIISOCYANATE",724.30,29.47,0.4258,0.4631,0.8464,1.9349,48.3993
"1,4-CYCLOHEXADIENE",569.00,47.30,0.2048,0.2804,0.8758,2.1813,-4.7721
"1,4-DIBROMOBENZENE",738.15,44.72,0.4257,0.5500,0.9130,1.7700,-12.7790
"1,4-DICHLOROBUTANE",641.00,36.10,0.3260,0.1564,0.8319,2.8669,21.0584
"1,4-DICYANO-2-BUTENE",755.00,29.50,0.6668,0.2741,0.8130,3.2706,N.A.
"1,4-DIOXANE",587.00,52.08,0.2793,0.1396,0.8371,2.7697,-1.7798
"1,4-DI-tert-BUTYLBENZENE",708.00,23.00,0.5023,0.2711,0.8318,2.8683,-18.1145
"1,4-HEXADIENE",510.00,33.50,0.2800,0.1509,0.8398,2.7210,1.6182
"1,4-PENTADIENE",479.00,37.40,0.0837,0.0000,0.2467,0.6200,-0.6275
"1,5-CYCLOOCTADIENE",645.00,39.00,0.2858,0.1495,0.8375,2.7620,-11.5141
"1,5-DICHLOROPENTANE",668.00,31.90,0.3766,0.3717,0.7828,1.7522,24.6491
"1,5-HEXADIENE",508.00,33.50,0.2259,0.1375,0.8457,2.6203,2.6461
"1,5-PENTANEDIAMINE",642.00,37.35,0.5874,0.5971,0.8915,1.9938,-3.4806
"1,5-PENTANEDIOL",673.00,41.50,1.2216,0.9352,0.8736,2.2100,8.1466
"1,6-HEXANEDIOL",683.00,36.10,1.2162,1.6564,0.9719,1.2746,N.A.
1-AMINO-2-PROPANOL,614.00,56.70,0.7870,0.6746,0.8776,2.1587,-4.0153
1-BROMOBUTANE,570.40,40.41,0.3113,0.3795,0.8917,1.9919,-3.7576
1-BROMOHEPTANE,646.10,28.97,0.4527,0.4481,0.8802,2.1267,-5.5980
1-BROMONAPHTHALENE,824.00,37.00,0.3692,0.1723,0.8295,2.9141,10.7139
1-BROMOPROPANE,535.50,45.78,0.2811,0.4389,0.9167,1.7342,-0.7594
1-BUTANOL,563.10,44.14,0.5883,1.6267,1.0000,0.6998,1.9193
1-BUTENE,419.50,40.20,0.1845,0.1628,0.8604,2.3903,-3.4607
"1-CHLORO-1,1-DIFLUOROETHANE",410.29,40.41,0.2307,0.1787,0.8556,2.4625,-0.0219
1-CHLORONAPHTHALENE,785.00,34.00,0.3827,0.4074,0.8834,2.0873,20.1242
1-CHLOROPENTANE,571.20,33.52,0.2952,0.1817,0.8435,2.6574,7.8797
1-cis-2-trans-4-TRIMETHYLCYCLOPENTANE,579.26,28.78,0.2775,0.1503,0.8381,2.7131,5.7267
1-DECANOL,688.00,23.08,0.6070,2.2126,0.7960,0.5602,13.8728
1-DECENE,616.60,22.23,0.4805,0.2959,0.8254,2.5863,6.2974
1-DECYNE,619.85,23.70,0.5178,1.0137,0.8727,2.2218,-19.7790
1-DODECANOL,718.70,19.54,0.6556,0.1927,0.7992,3.6279,22.9771
1-DODECENE,657.10,18.88,0.5620,0.4196,0.8014,2.1791,17.8499
1-EICOSENE,771.00,12.20,0.8804,0.4783,0.8287,2.9294,43.9442
1-ETHYL-2-ISOPROPYLBENZENE,666.00,26.70,0.4176,1.6121,1.0000,0.4441,14.3888
1-ETHYLCYCLOHEXENE,614.90,33.05,0.2922,0.1547,0.8374,2.7645,2.1840
1-ETHYLNAPHTHALENE,776.00,33.20,0.4073,0.2601,0.8431,2.6637,5.4641
1-HEPTADECENE,736.00,14.10,0.7503,0.4575,0.8387,2.7414,33.5445
1-HEPTANOL,632.30,30.85,0.5621,2.2282,0.8430,0.5185,-3.9113
1-HEPTENE,537.40,29.20,0.3432,0.2110,0.8430,2.6655,-1.7561
1-HEPTYNE,547.00,32.10,0.3778,0.3061,0.8594,2.4048,-5.7119
1-HEXADECANOL,768.60,14.68,0.7788,0.2632,0.8003,3.5971,49.3537
1-HEXADECENE,722.00,14.80,0.7242,0.3741,0.8209,2.9537,32.0534
1-HEXANOL,611.30,34.46,0.5586,2.3582,1.0000,0.4486,4.1534
1-HEXENE,504.00,32.10,0.2851,1.2793,0.9087,0.4794,1.4594
1-HEXYNE,516.20,36.20,0.3327,0.2899,0.8641,2.3384,-5.4088
1-ISOPROPOXY-2-PROPANOL,562.00,33.60,0.7681,1.3256,0.8947,1.9581,-34.2395
1-METHOXY-2-PROPANOL PROPANOATE,611.70,26.02,0.5099,0.1185,0.8011,3.5745,N.A.
1-METHYL-1-ETHYLCYCLOPENTANE,582.00,30.20,0.3298,0.3560,0.8812,2.1146,-2.6309
1-METHYL-2-n-PROPYLBENZENE,662.00,29.40,0.4070,0.3606,0.8670,2.2972,2.6941
1-METHYL-3-HYDROXY-5-ISOPROPYL BENZENE,726.80,34.08,0.5863,0.1633,0.7978,3.5198,N.A.
1-METHYL-3-n-PROPYLBENZENE,654.00,28.10,0.4128,0.2618,0.8428,2.6683,3.7808
1-METHYL-4-n-PROPYLBENZENE,656.00,28.10,0.4134,0.2811,0.8471,2.5957,0.4227
1-METHYL-4-VINYLCYCLOHEXENE,626.00,31.20,0.3445,1.4901,1.0000,0.3582,10.3654
1-METHYLCYCLOPENTENE,542.00,41.30,0.2318,1.1351,1.0000,0.7315,-6.8863
1-METHYLINDENE,703.00,34.60,0.3349,0.1713,0.8346,2.8152,9.4293
1-METHYLNAPHTHALENE,772.00,36.00,0.3416,1.3467,0.9999,0.6146,9.4826
1-METHYLVINYL ACETATE,552.20,41.81,0.4027,0.3572,0.8667,2.3020,-14.2930
1-NITROPROPANE,605.00,43.50,0.4128,0.5003,0.9020,1.8803,12.8592
1-NONADECENE,760.00,12.80,0.8325,0.5414,0.8452,2.6271,39.4911
1-NONANOL,670.90,25.27,0.5841,2.0611,0.6903,0.6168,13.2770
1-NONENE,593.10,24.28,0.4367,0.2621,0.8334,2.6708,2.2272
1-NONYNE,598.05,26.10,0.4710,0.9590,0.8740,2.1070,-19.6689
1-OCTADECANOL,789.30,12.95,0.8322,0.2619,0.7959,3.7231,66.6824
1-OCTADECENE,748.00,13.40,0.7943,0.5200,0.8457,2.6201,35.9779
1-OCTANOL,652.30,27.83,0.5697,2.8339,0.9963,0.3740,4.6097
1-OCTENE,566.90,26.63,0.3921,0.2340,0.8402,2.7132,-0.8110
1-OCTYNE,574.00,28.80,0.4233,0.2860,0.8469,2.6002,-3.8983
1-PENTADECANOL,757.30,15.69,0.7507,0.2521,0.8009,3.5821,N.A.
1-PENTADECENE,708.00,15.70,0.6815,0.3996,0.8141,2.6593,26.9347
1-PENTANOL,588.10,38.97,0.5748,1.6858,1.0000,0.6618,1.4782
1-PENTENE,464.80,35.60,0.2372,0.1733,0.8531,2.5009,-2.8240
1-PENTYNE,481.20,41.70,0.2899,0.2989,0.8752,2.1885,-12.3481
1-PHENYLNAPHTHALENE,849.00,26.30,0.5309,0.2267,0.8192,3.1289,25.8106
1-PROPANOL,536.80,51.69,0.6209,1.3795,1.0000,0.8772,3.2777
1-TETRADECANOL,745.30,16.82,0.7168,1.9654,0.5317,0.6998,41.0991
1-TETRADECENE,691.00,16.27,0.6503,0.4654,0.8017,2.2553,31.8180
"1-trans-3,5-TRIMETHYLCYCLOHEXANE",602.20,28.40,0.3671,0.6455,0.8637,2.0247,-21.2129
1-TRIDECANOL,732.40,18.10,0.6881,0.2009,0.7978,3.6694,29.3763
1-TRIDECENE,674.80,17.49,0.6074,0.3761,0.8142,2.5702,23.6047
1-UNDECANOL,703.90,21.19,0.6236,0.1721,0.7985,3.6482,16.1485
1-UNDECENE,637.80,20.44,0.5225,0.3342,0.8155,2.4741,11.6402
2-(2-HEXOXYETHOXY)ETHANOL,684.00,24.10,1.1110,1.4184,0.8732,2.2143,-47.3721
2-(2-PENTOXYETHOXY)ETHANOL,705.30,25.03,0.7047,0.1718,0.7231,3.0821,N.A.
2-(alpha-METHYLBENZYLOXY)-1-PROPANOL,722.70,24.92,0.6421,1.5102,0.9040,1.8590,N.A.
"2-(DIFLUOROMETHOXY)-1,1,1-TRIFLUOROETHANE",444.03,34.20,0.3887,0.1805,0.8285,2.9336,-1.3147
"2,2,3,3-TETRAMETHYLBUTANE",568.00,28.70,0.2450,0.2431,0.8337,1.9847,-9.1528
"2,2,3,3-TETRAMETHYLHEXANE",623.00,25.10,0.3659,0.2628,0.8513,2.5293,-10.0280
"2,2,3,3-TETRAMETHYLPENTANE",607.50,27.41,0.3051,0.2044,0.8475,2.5889,-8.4140
"2,2,3,4-TETRAMETHYLPENTANE",592.60,26.00,0.3138,0.3628,0.8202,1.7237,-5.8615
"2,2,3-TRIMETHYLBUTANE",531.10,29.50,0.2501,0.1743,0.8506,2.5403,-5.3985
"2,2,3-TRIMETHYLPENTANE",563.50,27.30,0.2971,0.2296,0.8290,2.2405,-1.4558
"2,2,4,4,6,8,8-HEPTAMETHYLNONANE",692.00,15.70,0.5482,0.2763,0.8271,2.9612,17.6192
"2,2,4,4-TETRAMETHYLPENTANE",574.60,24.90,0.3136,0.3235,0.8401,1.9576,-7.5816
"2,2,4-TRIMETHYL-1,3-PENTANEDIOL",697.90,27.04,0.5958,0.0578,0.7437,3.5569,31.4414
"2,2,4-TRIMETHYLPENTANE",543.80,25.70,0.3035,0.2476,0.8486,2.3310,-4.1378
"2,2,5,5-TETRAMETHYLHEXANE",581.40,21.90,0.3767,1.1288,0.8753,0.7804,-3.8453
"2,2,5-TRIMETHYLHEXANE",569.80,23.30,0.3446,1.3494,0.9219,0.6201,0.3715
"2,2-DICHLORO-1,1,1-TRIFLUOROETHANE",456.94,36.76,0.2825,0.3129,0.8218,1.7940,-1.6916
"2,2-DIMETHYL-1-PROPANOL",552.70,40.78,0.5950,0.2505,0.7192,2.4364,N.A.
"2,2-DIMETHYL-3-ETHYLPENTANE",590.00,25.70,0.3353,0.1609,0.8323,2.8592,-7.2111
"2,2-DIMETHYLBUTANE",489.00,31.00,0.2341,0.1771,0.8546,2.4767,-6.4634
"2,2-DIMETHYLHEPTANE",576.70,23.50,0.3911,0.3959,0.8322,1.9017,-1.2320
"2,2-DIMETHYLHEXANE",549.80,25.30,0.3378,0.2599,0.8219,2.2087,-0.6646
