x,tx,y,ty
0.0,467.85,0.0,467.85
0.0032,461.88,0.1564,461.88
0.0079,455.06,0.3085,455.06
0.0127,449.29,0.4072,449.29
0.0169,444.51,0.5053,444.51
0.0242,437.95,0.6062,437.95
0.0278,433.78,0.6674,433.78
0.0419,424.43,0.7691,424.43
0.0592,414.68,0.8432,414.68
0.1002,401.33,0.9109,401.33
0.1477,388.4,0.9512,388.4
0.1635,383.64,0.9632,383.64
0.2064,377.25,0.9756,377.25
0.2646,368.4,0.9848,368.4
0.3662,360.18,0.9917,360.18
0.439,355.64,0.9937,355.64
0.5053,352.24,0.9957,352.24
0.5823,349.62,0.9968,349.62
0.6433,347.13,0.9973,347.13
0.7358,344.03,0.9979,344.03
0.8143,341.99,0.9987,341.99
0.8978,340.06,0.999,340.06
0.9522,338.87,0.9992,338.87
0.9819,338.15,0.9995,338.15
1.0,337.75,1.0,337.75
