Temperature(K)	Pressure(bar)	Density(l,mol/m3)	Volume(l,m3/mol)	InternalEnergy(l,kJ/mol)	Enthalpy(l,kJ/mol)	Entropy(l,J/mol*K)	Cv(l,J/mol*K)	Cp(l,J/mol*K)	SoundSpd.(l,m/s)	Joule-Thomson(l,K/bar)	Viscosity(l,cP)	Therm.Cond.(l,W/m*K)	Surf.Tension(l,N/m)	Density(v,mol/m3)	Volume(v,m3/mol)	InternalEnergy(v,kJ/mol)	Enthalpy(v,kJ/mol)	Entropy(v,J/mol*K)	Cv(v,J/mol*K)	Cp(v,J/mol*K)	SoundSpd.(v,m/s)	Joule-Thomson(v,K/bar)	Viscosity(v,cP)	Therm.Cond.(v,W/m*K)
217.00	2.2387e-05	6678.0	0.00014975	-47.385	-47.385	-156.26	178.37	226.82	1526.7	-0.051225	2.2127	0.15276	0.029659	0.0012408	805.91	-2.0271	-0.22285	61.080	144.34	152.65	129.25	19.086	0.0042153	0.0061868
224.00	5.0448e-05	6629.7	0.00015084	-45.790	-45.790	-149.02	180.17	228.77	1494.9	-0.050589	1.8386	0.15006	0.028874	0.0027088	369.17	-1.0064	0.85602	59.218	147.30	155.62	131.24	17.619	0.0043468	0.0065017
231.00	0.00010732	6581.5	0.00015194	-44.182	-44.182	-141.95	182.04	230.79	1463.3	-0.049926	1.5531	0.14742	0.028099	0.0055880	178.96	0.035079	1.9556	57.775	150.29	158.60	133.20	16.301	0.0044782	0.0068360
238.00	0.00021671	6533.3	0.00015306	-42.559	-42.559	-135.03	183.98	232.89	1431.9	-0.049236	1.3305	0.14484	0.027335	0.010952	91.305	1.0974	3.0761	56.711	153.29	161.61	135.13	15.105	0.0046094	0.0071892
245.00	0.00041737	6485.1	0.00015420	-40.921	-40.921	-128.25	186.00	235.07	1400.6	-0.048517	1.1535	0.14231	0.026580	0.020492	48.800	2.1808	4.2175	55.989	156.33	164.65	137.03	14.011	0.0047404	0.0075611
252.00	0.00076993	6436.8	0.00015536	-39.268	-39.268	-121.60	188.10	237.33	1369.6	-0.047769	1.0107	0.13983	0.025835	0.036755	27.207	3.2853	5.3801	55.577	159.41	167.73	138.89	13.004	0.0048713	0.0079514
259.00	0.0013655	6388.5	0.00015653	-37.598	-37.598	-115.06	190.30	239.68	1338.9	-0.046990	0.89382	0.13739	0.025099	0.063434	15.765	4.4112	6.5638	55.448	162.53	170.86	140.73	12.071	0.0050020	0.0083597
266.00	0.0023362	6340.0	0.00015773	-35.912	-35.912	-108.64	192.58	242.13	1308.3	-0.046180	0.79694	0.13500	0.024372	0.10569	9.4614	5.5586	7.7690	55.576	165.69	174.03	142.52	11.205	0.0051324	0.0087858
273.00	0.0038674	6291.3	0.00015895	-34.208	-34.208	-102.32	194.95	244.66	1278.0	-0.045340	0.71576	0.13266	0.023654	0.17053	5.8642	6.7277	8.9956	55.939	168.91	177.26	144.28	10.399	0.0052625	0.0092296
280.00	0.0062111	6242.5	0.00016019	-32.487	-32.486	-96.089	197.41	247.28	1248.0	-0.044468	0.64704	0.13036	0.022944	0.26713	3.7435	7.9185	10.244	56.518	172.17	180.54	146.01	9.6497	0.0053924	0.0096907
287.00	0.0097013	6193.4	0.00016146	-30.746	-30.746	-89.950	199.94	249.99	1218.2	-0.043565	0.58834	0.12810	0.022243	0.40728	2.4553	9.1312	11.513	57.294	175.47	183.87	147.69	8.9529	0.0055219	0.010169
294.00	0.014769	6144.1	0.00016276	-28.987	-28.986	-83.893	202.55	252.78	1188.7	-0.042629	0.53776	0.12588	0.021549	0.60568	1.6510	10.366	12.804	58.251	178.83	187.26	149.32	8.3057	0.0056510	0.010664
301.00	0.021957	6094.6	0.00016408	-27.207	-27.207	-77.911	205.23	255.66	1159.5	-0.041661	0.49383	0.12370	0.020863	0.88034	1.1359	11.622	14.116	59.373	182.23	190.70	150.91	7.7059	0.0057797	0.011176
308.00	0.031938	6044.7	0.00016543	-25.407	-25.407	-72.000	207.98	258.61	1130.5	-0.040658	0.45540	0.12156	0.020184	1.2528	0.79820	12.900	15.449	60.648	185.68	194.21	152.43	7.1510	0.0059078	0.011705
