Temperature(K),Pressure(bar),Density(l;mol/m3),Volume(l;m3/mol),InternalEnergy(l;kJ/mol),Enthalpy(l;kJ/mol),Entropy(l;J/mol*K),Cv(l;J/mol*K),Cp(l;J/mol*K),SoundSpd.(l;m/s),Joule-Thomson(l;K/bar),Viscosity(l;Pa*s),Therm.Cond.(l;W/m*K),Surf.Tension(l;N/m),Density(v;mol/m3),Volume(v;m3/mol),InternalEnergy(v;kJ/mol),Enthalpy(v;kJ/mol),Entropy(v;J/mol*K),Cv(v;J/mol*K),Cp(v;J/mol*K),SoundSpd.(v;m/s),Joule-Thomson(v;K/bar),Viscosity(v;Pa*s),Therm.Cond.(v;W/m*K)
300.00,0.035368,55315.,1.8078e-05,2.0278,2.0279,7.0816,74.412,75.320,1501.4,-0.022024,0.00085375,0.60944,0.071686,1.4204,0.70401,43.446,45.936,153.44,25.982,34.483,427.89,26.435,9.7596e-06,0.018563
303.47,0.043256,55259.,1.8097e-05,2.2892,2.2892,7.9477,74.154,75.304,1509.7,-0.021799,0.00079182,0.61482,0.071144,1.7178,0.58214,43.531,46.049,152.15,26.042,34.561,430.25,24.079,9.8704e-06,0.018808
306.94,0.052631,55198.,1.8117e-05,2.5504,2.5505,8.8038,73.887,75.296,1517.2,-0.021580,0.00073685,0.61993,0.070595,2.0670,0.48379,43.616,46.162,150.89,26.103,34.642,432.58,22.003,9.9823e-06,0.019057
310.41,0.063719,55131.,1.8139e-05,2.8117,2.8118,9.6503,73.612,75.295,1524.0,-0.021368,0.00068781,0.62478,0.070040,2.4752,0.40401,43.700,46.274,149.67,26.166,34.726,434.90,20.169,1.0095e-05,0.019308
313.88,0.076772,55059.,1.8162e-05,3.0730,3.0731,10.487,73.328,75.299,1529.9,-0.021160,0.00064386,0.62939,0.069478,2.9503,0.33895,43.784,46.386,148.48,26.230,34.814,437.19,18.548,1.0209e-05,0.019563
317.35,0.092072,54981.,1.8188e-05,3.3343,3.3344,11.315,73.037,75.308,1535.2,-0.020957,0.00060431,0.63376,0.068909,3.5008,0.28565,43.867,46.497,147.33,26.297,34.906,439.46,17.112,1.0323e-05,0.019821
320.82,0.10993,54900.,1.8215e-05,3.5956,3.5958,12.134,72.740,75.321,1539.7,-0.020757,0.00056859,0.63791,0.068334,4.1361,0.24177,43.951,46.608,146.21,26.367,35.003,441.71,15.837,1.0439e-05,0.020083
324.29,0.13068,54813.,1.8244e-05,3.8570,3.8572,12.945,72.437,75.338,1543.6,-0.020560,0.00053620,0.64184,0.067752,4.8664,0.20549,44.034,46.719,145.12,26.440,35.106,443.94,14.702,1.0555e-05,0.020348
327.76,0.15470,54723.,1.8274e-05,4.1185,4.1187,13.747,72.128,75.358,1546.9,-0.020365,0.00050675,0.64557,0.067164,5.7026,0.17536,44.116,46.829,144.06,26.517,35.214,446.14,13.689,1.0671e-05,0.020617
331.23,0.18240,54628.,1.8306e-05,4.3800,4.3803,14.540,71.815,75.382,1549.6,-0.020173,0.00047988,0.64909,0.066570,6.6566,0.15023,44.198,46.939,143.03,26.597,35.329,448.31,12.782,1.0788e-05,0.020890
334.70,0.21422,54529.,1.8339e-05,4.6416,4.6420,15.326,71.499,75.409,1551.7,-0.019981,0.00045530,0.65242,0.065969,7.7411,0.12918,44.280,47.047,142.02,26.682,35.451,450.46,11.968,1.0906e-05,0.021167
338.17,0.25064,54426.,1.8373e-05,4.9033,4.9038,16.104,71.178,75.439,1553.3,-0.019790,0.00043276,0.65555,0.065362,8.9698,0.11148,44.361,47.156,141.05,26.772,35.581,452.58,11.234,1.1024e-05,0.021449
341.64,0.29219,54320.,1.8409e-05,5.1651,5.1656,16.874,70.856,75.472,1554.3,-0.019600,0.00041203,0.65850,0.064749,10.357,0.096550,44.442,47.263,140.10,26.866,35.719,454.67,10.572,1.1143e-05,0.021734
345.11,0.33942,54210.,1.8447e-05,5.4270,5.4277,17.637,70.531,75.509,1554.9,-0.019409,0.00039293,0.66126,0.064130,11.919,0.083899,44.522,47.370,139.17,26.966,35.867,456.73,9.9720,1.1262e-05,0.022025
348.58,0.39295,54096.,1.8486e-05,5.6891,5.6898,18.393,70.204,75.549,1554.9,-0.019218,0.00037529,0.66384,0.063505,13.672,0.073143,44.602,47.476,138.27,27.073,36.024,458.76,9.4267,1.1381e-05,0.022320
352.05,0.45342,53979.,1.8526e-05,5.9513,5.9521,19.141,69.876,75.593,1554.5,-0.019026,0.00035896,0.66624,0.062874,15.633,0.063967,44.681,47.581,137.39,27.185,36.191,460.76,8.9296,1.1501e-05,0.022620
355.52,0.52152,53859.,1.8567e-05,6.2137,6.2146,19.883,69.548,75.641,1553.7,-0.018833,0.00034382,0.66847,0.062237,17.821,0.056112,44.759,47.686,136.53,27.304,36.369,462.73,8.4753,1.1621e-05,0.022926
358.99,0.59799,53735.,1.8610e-05,6.4762,6.4773,20.617,69.219,75.692,1552.4,-0.018638,0.00032975,0.67053,0.061594,20.256,0.049367,44.837,47.789,135.70,27.431,36.560,464.66,8.0588,1.1741e-05,0.023237
362.46,0.68363,53608.,1.8654e-05,6.7389,6.7402,21.346,68.891,75.748,1550.8,-0.018442,0.00031666,0.67242,0.060946,22.959,0.043556,44.914,47.892,134.88,27.564,36.762,466.57,7.6759,1.1861e-05,0.023554
365.93,0.77925,53477.,1.8699e-05,7.0018,7.0033,22.068,68.563,75.807,1548.7,-0.018243,0.00030446,0.67414,0.060291,25.950,0.038535,44.991,47.993,134.08,27.706,36.978,468.43,7.3229,1.1981e-05,0.023878
369.40,0.88576,53344.,1.8746e-05,7.2649,7.2666,22.783,68.236,75.872,1546.2,-0.018041,0.00029307,0.67570,0.059631,29.254,0.034183,45.066,48.094,133.31,27.856,37.208,470.26,6.9966,1.2102e-05,0.024207
372.87,1.0041,53208.,1.8794e-05,7.5282,7.5301,23.493,67.911,75.941,1543.4,-0.017836,0.00028241,0.67710,0.058966,32.894,0.030400,45.141,48.193,132.55,28.015,37.452,472.05,6.6942,1.2222e-05,0.024543
376.34,1.1352,53068.,1.8844e-05,7.7918,7.7939,24.196,67.587,76.015,1540.2,-0.017628,0.00027243,0.67835,0.058295,36.896,0.027103,45.214,48.291,131.80,28.184,37.712,473.81,6.4131,1.2343e-05,0.024886
379.81,1.2802,52926.,1.8894e-05,8.0556,8.0580,24.894,67.265,76.094,1536.7,-0.017416,0.00026308,0.67944,0.057618,41.285,0.024222,45.287,48.388,131.08,28.362,37.989,475.52,6.1512,1.2464e-05,0.025235
383.28,1.4401,52780.,1.8947e-05,8.3197,8.3224,25.586,66.945,76.178,1532.8,-0.017200,0.00025429,0.68038,0.056936,46.089,0.021697,45.359,48.484,130.37,28.550,38.282,477.20,5.9064,1.2584e-05,0.025593
386.75,1.6160,52632.,1.9000e-05,8.5841,8.5871,26.273,66.627,76.267,1528.5,-0.016979,0.00024603,0.68117,0.056249,51.338,0.019479,45.430,48.578,129.68,28.748,38.594,478.83,5.6771,1.2705e-05,0.025958
390.22,1.8092,52480.,1.9055e-05,8.8488,8.8522,26.954,66.312,76.363,1524.0,-0.016754,0.00023825,0.68181,0.055557,57.060,0.017525,45.500,48.671,129.00,28.957,38.924,480.42,5.4616,1.2825e-05,0.026331
393.69,2.0210,52326.,1.9111e-05,9.1138,9.1176,27.631,65.999,76.464,1519.1,-0.016524,0.00023092,0.68231,0.054859,63.288,0.015801,45.569,48.762,128.33,29.178,39.274,481.97,5.2588,1.2945e-05,0.026712
397.16,2.2525,52169.,1.9168e-05,9.3791,9.3834,28.302,65.689,76.572,1513.9,-0.016289,0.00022400,0.68267,0.054157,70.053,0.014275,45.636,48.852,127.68,29.410,39.645,483.48,5.0672,1.3065e-05,0.027101
400.63,2.5052,52009.,1.9227e-05,9.6448,9.6496,28.968,65.383,76.685,1508.4,-0.016048,0.00021746,0.68288,0.053449,77.390,0.012922,45.703,48.940,127.04,29.653,40.036,484.94,4.8859,1.3186e-05,0.027500
404.10,2.7805,51846.,1.9288e-05,9.9109,9.9163,29.629,65.079,76.806,1502.7,-0.015801,0.00021128,0.68296,0.052737,85.333,0.011719,45.768,49.026,126.41,29.908,40.449,486.35,4.7139,1.3305e-05,0.027907
407.57,3.0798,51681.,1.9350e-05,10.177,10.183,30.286,64.779,76.933,1496.6,-0.015548,0.00020543,0.68290,0.052019,93.919,0.010647,45.832,49.111,125.80,30.175,40.884,487.72,4.5504,1.3425e-05,0.028324
411.04,3.4047,51512.,1.9413e-05,10.444,10.451,30.938,64.482,77.067,1490.2,-0.015287,0.00019988,0.68271,0.051297,103.19,0.0096912,45.895,49.194,125.19,30.454,41.342,489.04,4.3946,1.3545e-05,0.028751
414.51,3.7567,51341.,1.9478e-05,10.712,10.719,31.586,64.188,77.208,1483.6,-0.015020,0.00019461,0.68238,0.050570,113.17,0.0088360,45.956,49.275,124.60,30.745,41.824,490.31,4.2459,1.3664e-05,0.029188
417.98,4.1374,51167.,1.9544e-05,10.980,10.988,32.229,63.898,77.357,1476.7,-0.014745,0.00018961,0.68193,0.049839,123.92,0.0080696,46.016,49.354,124.02,31.048,42.329,491.53,4.1037,1.3784e-05,0.029635
421.45,4.5486,50990.,1.9612e-05,11.248,11.257,32.869,63.611,77.514,1469.5,-0.014462,0.00018486,0.68135,0.049103,135.47,0.0073815,46.074,49.432,123.45,31.363,42.858,492.71,3.9675,1.3903e-05,0.030093
424.92,4.9919,50810.,1.9681e-05,11.517,11.527,33.504,63.328,77.678,1462.0,-0.014170,0.00018033,0.68064,0.048363,147.87,0.0067626,46.131,49.507,122.89,31.689,43.412,493.83,3.8369,1.4022e-05,0.030562
428.39,5.4691,50627.,1.9752e-05,11.786,11.797,34.136,63.049,77.851,1454.3,-0.013870,0.00017602,0.67981,0.047619,161.17,0.0062048,46.186,49.580,122.33,32.027,43.991,494.91,3.7115,1.4141e-05,0.031042
431.86,5.9821,50441.,1.9825e-05,12.056,12.068,34.763,62.773,78.033,1446.3,-0.013560,0.00017191,0.67905,0.046870,175.40,0.0057013,46.240,49.650,121.79,32.375,44.596,495.93,3.5910,1.4259e-05,0.031535
435.33,6.5328,50252.,1.9900e-05,12.327,12.340,35.387,62.500,78.223,1438.0,-0.013241,0.00016799,0.67813,0.046117,190.62,0.0052461,46.292,49.719,121.25,32.735,45.225,496.90,3.4751,1.4378e-05,0.032039
438.80,7.1230,50061.,1.9976e-05,12.598,12.612,36.008,62.232,78.423,1429.5,-0.012910,0.00016424,0.67705,0.045360,206.88,0.0048337,46.342,49.785,120.72,33.104,45.881,497.82,3.3635,1.4496e-05,0.032555
442.27,7.7548,49866.,2.0054e-05,12.870,12.885,36.625,61.967,78.633,1420.8,-0.012569,0.00016066,0.67584,0.044600,224.24,0.0044596,46.390,49.849,120.20,33.483,46.562,498.68,3.2561,1.4615e-05,0.033085
445.74,8.4302,49668.,2.0134e-05,13.142,13.159,37.239,61.706,78.852,1411.8,-0.012217,0.00015723,0.67451,0.043835,242.74,0.0041197,46.437,49.910,119.69,33.872,47.271,499.49,3.1526,1.4733e-05,0.033627
449.21,9.1513,49468.,2.0215e-05,13.415,13.434,37.849,61.448,79.082,1402.5,-0.011852,0.00015395,0.67306,0.043067,262.45,0.0038103,46.482,49.969,119.18,34.270,48.006,500.25,3.0529,1.4851e-05,0.034183
452.68,9.9202,49264.,2.0299e-05,13.689,13.709,38.457,61.195,79.323,1393.0,-0.011474,0.00015080,0.67150,0.042295,283.42,0.0035284,46.525,50.025,118.68,34.677,48.768,500.95,2.9568,1.4969e-05,0.034754
456.15,10.739,49057.,2.0385e-05,13.964,13.986,39.062,60.945,79.575,1383.3,-0.011082,0.00014778,0.66982,0.041520,305.72,0.0032710,46.566,50.078,118.19,35.091,49.558,501.59,2.8642,1.5087e-05,0.035338
459.62,11.610,48847.,2.0472e-05,14.239,14.263,39.663,60.698,79.840,1373.3,-0.010677,0.00014488,0.66803,0.040741,329.41,0.0030358,46.604,50.129,117.70,35.514,50.377,502.18,2.7749,1.5205e-05,0.035938
463.09,12.536,48633.,2.0562e-05,14.516,14.541,40.263,60.456,80.116,1363.1,-0.010256,0.00014209,0.66613,0.039959,354.55,0.0028205,46.641,50.177,117.21,35.944,51.225,502.72,2.6888,1.5323e-05,0.036552
466.56,13.518,48417.,2.0654e-05,14.793,14.821,40.859,60.217,80.406,1352.6,-0.0098190,0.00013941,0.66412,0.039174,381.23,0.0026231,46.676,50.222,116.74,36.381,52.103,503.19,2.6058,1.5442e-05,0.037183
470.03,14.560,48197.,2.0748e-05,15.071,15.101,41.453,59.982,80.709,1341.9,-0.0093653,0.00013683,0.66201,0.038386,409.50,0.0024420,46.708,50.264,116.26,36.825,53.013,503.60,2.5258,1.5560e-05,0.037830
473.50,15.663,47973.,2.0845e-05,15.350,15.382,42.045,59.750,81.027,1330.9,-0.0088937,0.00013434,0.65979,0.037595,439.45,0.0022756,46.738,50.303,115.79,37.276,53.954,503.96,2.4487,1.5678e-05,0.038494
476.97,16.831,47746.,2.0944e-05,15.630,15.665,42.634,59.523,81.359,1319.8,-0.0084032,0.00013194,0.65746,0.036801,471.16,0.0021224,46.766,50.338,115.33,37.733,54.929,504.25,2.3744,1.5797e-05,0.039176
480.44,18.065,47516.,2.1046e-05,15.911,15.949,43.221,59.299,81.708,1308.3,-0.0078926,0.00012962,0.65503,0.036004,504.71,0.0019814,46.791,50.371,114.87,38.196,55.939,504.48,2.3028,1.5916e-05,0.039876
483.91,19.368,47281.,2.1150e-05,16.193,16.234,43.807,59.079,82.073,1296.7,-0.0073609,0.00012738,0.65250,0.035205,540.18,0.0018512,46.814,50.400,114.41,38.665,56.986,504.65,2.2338,1.6035e-05,0.040594
